NodeID,PacketsSent,PacketsDropped,SendRate,EnqueueRatio,DropRatio,NodeType
392,93,29,11.4925,0.688172,0.311828,Normal
393,129,65,14.0782,0.496124,0.503876,Normal
394,110,46,12.8138,0.581818,0.418182,Normal
395,119,55,12.7367,0.537815,0.462185,Normal
396,146,82,16.6635,0.438356,0.561644,Normal
397,99,35,10.457,0.646465,0.353535,Normal
398,133,69,14.7903,0.481203,0.518797,Normal
399,132,68,14.0752,0.484848,0.515152,Normal
400,280,216,30.1403,0.228571,0.771429,Normal
401,118,54,13.117,0.542373,0.457627,Normal
402,140,76,15.0617,0.457143,0.542857,Normal
403,124,60,13.9366,0.516129,0.483871,Normal
404,76,12,11.0941,0.842105,0.157895,Normal
405,118,54,12.2123,0.542373,0.457627,Normal
406,135,71,16.9404,0.474074,0.525926,Normal
407,105,41,13.745,0.609524,0.390476,Normal
408,109,45,14.4487,0.587156,0.412844,Normal
409,107,43,15.9541,0.598131,0.401869,Normal
410,177,113,19.3291,0.361582,0.638418,Normal
411,149,85,16.0726,0.42953,0.57047,Normal
412,91,27,12.247,0.703297,0.296703,Normal
413,105,41,14.3803,0.609524,0.390476,Normal
414,76,12,11.1475,0.842105,0.157895,Normal
415,108,44,15.7857,0.592593,0.407407,Normal
416,157,93,17.0846,0.407643,0.592357,Normal
417,97,33,14.1931,0.659794,0.340206,Normal
418,93,29,10.1807,0.688172,0.311828,Normal
419,154,90,19.2274,0.415584,0.584416,Normal
420,96,32,12.9674,0.666667,0.333333,Normal
421,73,9,10.7783,0.876712,0.123288,Normal
422,150,86,15.9432,0.426667,0.573333,Normal
423,101,37,12.1718,0.633663,0.366337,Normal
424,116,52,15.9037,0.551724,0.448276,Normal
425,92,28,10.5863,0.695652,0.304348,Normal
426,176,112,18.8323,0.363636,0.636364,Normal
427,137,73,17.4591,0.467153,0.532847,Normal
428,127,63,16.4985,0.503937,0.496063,Normal
429,155,91,16.5941,0.412903,0.587097,Normal
430,133,69,14.1095,0.481203,0.518797,Normal
431,107,43,13.4543,0.598131,0.401869,Normal
432,94,30,11.8772,0.680851,0.319149,Normal
433,113,49,12.2765,0.566372,0.433628,Normal
434,131,67,17.2884,0.48855,0.51145,Normal
435,175,111,18.3087,0.365714,0.634286,Normal
436,122,58,15.2655,0.52459,0.47541,Normal
437,157,93,18.4776,0.407643,0.592357,Normal
438,121,57,13.7667,0.528926,0.471074,Normal
439,90,26,10.5051,0.711111,0.288889,Normal
440,101,37,11.0702,0.633663,0.366337,Normal
441,94,30,10.571,0.680851,0.319149,Normal
442,108,44,12.3025,0.592593,0.407407,Normal
443,148,84,19.6717,0.432432,0.567568,Normal
444,112,48,12.5459,0.571429,0.428571,Normal
445,81,17,11.5818,0.790123,0.209877,Normal
446,104,40,12.1522,0.615385,0.384615,Normal
447,141,77,15.5571,0.453901,0.546099,Normal
448,87,23,10.2841,0.735632,0.264368,Normal
449,138,74,17.7268,0.463768,0.536232,Normal
450,266,202,37.728,0.240602,0.759398,Attacker
451,336,272,34.6778,0.190476,0.809524,Attacker
452,161,97,18.1032,0.397516,0.602484,Attacker
453,144,80,14.5134,0.444444,0.555556,Attacker
454,304,240,34.9298,0.210526,0.789474,Attacker
455,188,124,34.187,0.340426,0.659574,Attacker
456,125,61,13.8225,0.512,0.488,Attacker
457,486,422,62.5518,0.131687,0.868313,Attacker
458,222,158,38.6122,0.288288,0.711712,Attacker
459,306,243,34.5397,0.205882,0.794118,Attacker
460,583,519,71.4097,0.109777,0.890223,Attacker
461,334,263,41.8773,0.212575,0.787425,Attacker
462,304,240,48.752,0.210526,0.789474,Attacker
463,105,92,20.8594,0.12381,0.87619,Attacker
464,210,146,35.1992,0.304762,0.695238,Attacker
465,398,334,46.4938,0.160804,0.839196,Attacker
466,886,822,101.036,0.0722348,0.927765,Attacker
467,270,206,28.0755,0.237037,0.762963,Attacker
468,344,280,46.0672,0.186047,0.813953,Attacker
469,265,201,34.3884,0.241509,0.758491,Attacker
470,984,920,128.418,0.0650407,0.934959,Attacker
471,122,58,17.7363,0.52459,0.47541,Attacker
472,1058,994,113.456,0.0604915,0.939509,Attacker
473,730,666,130.169,0.0876712,0.912329,Attacker
474,588,524,78.3254,0.108844,0.891156,Attacker
475,120,56,17.5097,0.533333,0.466667,Attacker
476,102,38,16.7608,0.627451,0.372549,Attacker
477,218,154,25.7205,0.293578,0.706422,Attacker
478,208,144,32.3491,0.307692,0.692308,Attacker
479,750,686,120.786,0.0853333,0.914667,Attacker
